"";"N_arbol";"DAP_m";"Diametro_base_m";"Ht_m";"hi_m";"di_m";"Peso_total_trozas_kg";"Peso_verde_rodaja_kg";"Peso_seco_rodaja_kg";"Area_rodaja_m2";"Espesor_rodaja_m2";"Peso_verde_total_ramas_kg";"Peso_verde_total_hojas_kg";"Peso_verde_muestra_ramas_kg";"Peso_seco_muestra_ramas_kg";"Peso_verde_muestra_hojas_kg";"Peso_seco_muestra_hojas_kg"
"126";13;0,1075;0,1265;11,04;6,624;0,065571683;5;0,1343;0,062;0,004545;0,025525;NA;NA;NA;NA;NA;NA
"127";13;0,1075;0,1265;11,04;7,728;0,047746371;2,5;0,0527;0,0246;0,001615;0,029575;NA;NA;NA;NA;NA;NA
"128";13;0,1075;0,1265;11,04;8,832;0,02960275;2;0,044;0,0215;0,00156;0,023025;NA;NA;NA;NA;NA;NA
"129";13;0,1075;0,1265;11,04;9,936;0,020690094;1,5;0,0213;0,0091;0,000693;0,02835;NA;NA;NA;NA;NA;NA
"130";13;0,1075;0,1265;11,04;11,04;0,004297173;NA;0,0071;0,0034;0,000446;0,0191375;NA;NA;NA;NA;NA;NA
"131";14;0,104;0,1775;6,03;0,603;0,124777184;12,5;0,7606;0,1833;0,02172;0,0273375;10,25;5,13;2,3;1,2;0,521;0,21
"132";14;0,104;0,1775;6,03;1,206;0,108543417;7,5;0,2942;0,1736;0,011335;0,024925;NA;NA;NA;NA;NA;NA
"133";14;0,104;0,1775;6,03;1,809;0,12223071;7;0,2308;0,1433;0,009183;0,0280125;NA;NA;NA;NA;NA;NA
"134";14;0,104;0,1775;6,03;2,412;0,090718105;5,5;0,2785;0,165;0,00892;0,0279125;NA;NA;NA;NA;NA;NA
"135";14;0,104;0,1775;6,03;3,015;0,093582888;5;0,1394;0,0811;0,00626;0,0264;NA;NA;NA;NA;NA;NA
"136";14;0,104;0,1775;6,03;3,618;0,084033613;5;0,1792;0,1038;0,00677;0,02455;NA;NA;NA;NA;NA;NA
"137";14;0,104;0,1775;6,03;4,221;0,068754775;4,5;0,1112;0,0602;0,005105;0,0201375;NA;NA;NA;NA;NA;NA
"138";14;0,104;0,1775;6,03;4,824;0,072892793;3;0,0592;0,0318;0,003535;0,0252;NA;NA;NA;NA;NA;NA
"139";14;0,104;0,1775;6,03;5,427;0,035332315;1;0,1206;0,0633;0,003745;0,0177125;NA;NA;NA;NA;NA;NA
"140";14;0,104;0,1775;6,03;6,03;0,015374332;0,265;0,0164;0,0076;0,000965;0,0344875;NA;NA;NA;NA;NA;NA
"141";15;0,2225;0,325;15,85;1,585;0,214540362;72;1,735;0,95234;0,05322;0,0273375;61,8;30,9;3;1,8;0,529;0,21
"142";15;0,2225;0,325;15,85;3,17;0,201171378;56;0,9627;0,51969;0,034493;0,024925;NA;NA;NA;NA;NA;NA
"143";15;0,2225;0,325;15,85;4,755;0,200853069;51;0,9508;0,51735;0,03051;0,0280125;NA;NA;NA;NA;NA;NA
"144";15;0,2225;0,325;15,85;6,34;0,152470079;53,5;0,8994;0,49404;0,030455;0,0279125;NA;NA;NA;NA;NA;NA
"145";15;0,2225;0,325;15,85;7,925;0,130506748;31,5;0,4847;0,2772;0,017425;0,0264;NA;NA;NA;NA;NA;NA
"146";15;0,2225;0,325;15,85;9,51;0,126687038;23;0,3685;0,20565;0,01433;0,02455;NA;NA;NA;NA;NA;NA
"147";15;0,2225;0,325;15,85;11,095;0,083078686;11;0,2386;0,13448;0,011365;0,0201375;NA;NA;NA;NA;NA;NA
"148";15;0,2225;0,325;15,85;12,68;0,061115355;7;0,1334;0,068;0,004906;0,0252;NA;NA;NA;NA;NA;NA
"149";15;0,2225;0,325;15,85;14,265;0,031830914;3;0,0498;0,0269;0,0026;0,0177125;NA;NA;NA;NA;NA;NA
"150";15;0,2225;0,325;15,85;15,85;0,007193787;1;0,0262;0,0139;0,00062;0,0344875;NA;NA;NA;NA;NA;NA
"151";16;0,106;0,136;6,37;0,637;0,108861727;10;0,4833;0,2492;0,014375;0,0288625;7,11;3,55;2,1;1,7;0,518;0,25
"152";16;0,106;0,136;6,37;1,274;0,105360326;7;0,2534;0,1216;0,008535;0,02515;NA;NA;NA;NA;NA;NA
"153";16;0,106;0,136;6,37;1,911;0,106315253;6,5;0,1586;0,0708;0,0079;0,017175;NA;NA;NA;NA;NA;NA
"154";16;0,106;0,136;6,37;2,548;0,077667431;5;0,2734;0,1227;0,006716;0,0328625;NA;NA;NA;NA;NA;NA
"155";16;0,106;0,136;6,37;3,185;0,057613955;3;0,1182;0,0501;0,004223;0,024025;NA;NA;NA;NA;NA;NA
"156";16;0,106;0,136;6,37;3,822;0,047746371;2;0,0755;0,0351;0,00244;0,02825;NA;NA;NA;NA;NA;NA
"157";16;0,106;0,136;6,37;4,459;0,041698498;1;0,0555;0,0255;0,002305;0,025225;NA;NA;NA;NA;NA;NA
"158";16;0,106;0,136;6,37;5,096;0,037560479;0,75;0,0251;0,0107;0,001226;0,0195125;NA;NA;NA;NA;NA;NA
