"";"Arbol";"DAP..m.";"Ht..m.";"Hi..m.";"Di..m.";"Peso_total_troza..kg.";"Peso_rodajas_humedas_con_corteza.i1..kg.";"Peso_rodajas_humedas_con_corteza.i2..kg.";"Peso_rodajas_secas_con_corteza_.i1..kg.";"Peso_rodajas_secas_con_corteza_.i2..kg.";"Area_rodaja_con_corteza_i1..m2.";"Area_rodaja_con_corteza_i2..m2.";"Espesor_rodaja_i1..m.";"Espesor_rodaja_i2..m.";"Peso_verde.ramas..kg.";"Peso.verde.hojas..kg.";"Peso.verde.muestra.ramas..kg.";"Peso.seco.muestra.ramas..kg.";"Peso.verde.muestra.hojas..kg.";"Peso..seco.muestra.hojas"
"252";23;0,146;11,05;"9,945";0,021;1;"0,018";"0,0271";"0,0099";"0,0115";0,000776;0,000315;0,020825;0,067975;NA;NA;NA;NA;NA;NA
"253";23;0,146;11,05;"11,050";0,009;0,19;"0,0159";"0,0016";"0,0085";"0,0009";0,000266;6e-05;0,0413875;0,03722;NA;NA;NA;NA;NA;NA
"254";24;0,2045;13,2;"0,000";0,241;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"255";24;0,2045;13,2;"1,320";0,212;51,5;"1.422";"1.233";"0,85375";"0,71051";0,043205;0,03442;0,02965;0,033175;54,09;27,05;3,1;1,5;0,517;0,21
"256";24;0,2045;13,2;"2,640";0,202;48,5;"0,9454";"10.817";"0,55324";"0,61001";0,034555;0,031055;0,028075;0,02875;NA;NA;NA;NA;NA;NA
"257";24;0,2045;13,2;"3,960";0,192;44;"1.182";"1,15";"0,69564";"0,65676";0,031035;0,02809;0,0356375;0,0362875;NA;NA;NA;NA;NA;NA
"258";24;0,2045;13,2;"5,280";0,177;38;"0,9254";"0,414";"0,53454";"0,23454";0,027205;0,023605;0,03065;0,0155;NA;NA;NA;NA;NA;NA
"259";24;0,2045;13,2;"6,600";0,162;32,5;"0,6814";"0,3991";"0,39306";"0,22387";0,02315;0,018735;0,0268;0,0180375;NA;NA;NA;NA;NA;NA
"260";24;0,2045;13,2;"7,920";0,137;24,5;"0,4053";"0,323";"0,23806";"0,17914";0,02034;0,01319;0,0173375;0,0217375;NA;NA;NA;NA;NA;NA
"261";24;0,2045;13,2;"9,240";0,094;17;"0,54";"0,2383";"0,114";"0,0303";0,012926;0,006875;0,0365625;0,034525;NA;NA;NA;NA;NA;NA
"262";24;0,2045;13,2;"10,560";0,061;10,5;"0,1511";"0,1633";"0,0849";"0,0176";0,006785;0,005135;0,019525;0,02505;NA;NA;NA;NA;NA;NA
"263";24;0,2045;13,2;"11,880";0,032;3,5;"0,1315";"0,0341";"0,07";"0,0189";0,00272;0,0012;0,043075;0,0281625;NA;NA;NA;NA;NA;NA
